lb	mle	ub	ce	Z	cZ
Tet1	-6.80690183167885	-4.78857628856478	-3.00770080934646	-3.00770080934646	-5.53102647016049	-4.29230083553235
r_RLTR9E	-5.46135146960281	-3.91792605428027	-2.45365066025633	-2.45365066025633	-5.47690131895432	-4.2324405592277
Pycard	-6.25285168258872	-4.31367616077322	-2.61195070285351	-2.61195070285351	-5.46750886390371	-4.22900503975132
Mt2	-5.42177645895351	-3.79920102233238	-2.37450063895773	-2.37450063895773	-5.45200369129472	-4.2175242006196
Upp1	-6.33200170388728	-4.70942626726619	-2.80982575609999	-2.80982575609999	-5.42931299568364	-4.19666056269846
Col11a1	2.49322567090562	4.15537611817603	6.17370166129013	2.49322567090562	5.4078678483023	4.17712728938222
Tcl1	-6.09455163999153	-4.23452613947462	-2.53280068155492	-2.53280068155492	-5.26961680020619	-4.00799372009423
Gm10052	-5.18432639505772	-3.79920102233238	-2.37450063895773	-2.37450063895773	-5.19968352000008	-3.92528771737145
Rhobtb3	2.45365066025633	4.03665108622817	5.73837654414785	2.45365066025633	5.17176052471444	3.89653143677892
H2afz	-5.5009264802521	-3.87835104363098	-2.37450063895773	-2.37450063895773	-5.0840354545053	-3.78957095026998
Lrrc34	-6.33200170388728	-4.82815129921405	-2.88897577739858	-2.88897577739858	-5.07186480091498	-3.78376043585241
r_RLTR27	-6.01540161869294	-4.15537611817603	-2.45365066025633	-2.45365066025633	-5.06872638986785	-3.78376043585241
Utf1	-5.77795155479715	-4.03665108622817	-2.37450063895773	-2.37450063895773	-5.05846633687773	-3.77717648276386
r_L1VL1	-4.86772630986334	-3.482600937138	-2.05790055376337	-2.05790055376337	-4.95066416231348	-3.64224777238693
RNA_SPIKE_2	-3.68047599038449	-2.6911007241521	-1.66215044727042	-1.66215044727042	-4.88020987320244	-3.55909927001509
Lin28a	-8.35032724700138	-6.64860178908166	-3.24515087324224	-3.24515087324224	-4.87794756600626	-3.55909927001509
Rex2	-5.58007650155066	-3.83877603298168	-2.21620059636055	-2.21620059636055	-4.84005498716174	-3.51508013826069
Gm13138	-5.54050149090137	-3.83877603298168	-2.17662558571126	-2.17662558571126	-4.81479273808218	-3.48770995901608
2610305D13Rik	-5.69880153349856	-3.99707607557887	-2.33492562830844	-2.33492562830844	-4.7941618549251	-3.46748233261112
Cdh1	-6.13412665064083	-4.35325117142251	-2.45365066025633	-2.45365066025633	-4.79037713997333	-3.46748233261112
Rps4y2	-5.22390140570702	-3.68047599038449	-2.05790055376337	-2.05790055376337	-4.76189992770592	-3.43535103750354
Lefty2	-6.09455163999153	-4.39282618207181	-2.49322567090562	-2.49322567090562	-4.72588527748746	-3.39287639540209
Esrrb	-6.01540161869294	-4.39282618207181	-2.53280068155492	-2.53280068155492	-4.67528641322571	-3.33038321956909
Gm5803	-5.18432639505772	-3.5221759477873	-1.97875053246478	-1.97875053246478	-4.63330087764608	-3.27917637209376
Gm13051	-5.77795155479715	-3.99707607557887	-2.17662558571126	-2.17662558571126	-4.6208810383517	-3.26806267062653
Chchd10	-5.5009264802521	-3.79920102233238	-2.17662558571126	-2.17662558571126	-4.60836764613293	-3.25671231427288
r_RLTR17	-5.14475138440843	-3.5617509584366	-1.93917552181549	-1.93917552181549	-4.4890566296839	-3.09807333498771
Rdm1	-6.09455163999153	-4.31367616077322	-2.37450063895773	-2.37450063895773	-4.48088041065063	-3.09245988254672
Zfp600	-5.69880153349856	-3.91792605428027	-2.13705057506196	-2.13705057506196	-4.45919043180788	-3.06793030390279
RNA_SPIKE_1	-3.32430089454081	-2.41407564960703	-1.38512537272535	-1.38512537272535	-4.45257998296027	-3.06685414530581
Lpp	1.74130046856901	3.20557586259294	4.94687633116194	1.74130046856901	4.44843005621561	3.06685414530581
Hmga1	-4.5907012353183	-3.16600085194365	-1.8204504898676	-1.8204504898676	-4.44659982122324	-3.06685414530581
Eln	1.97875053246478	4.74900127791549	6.72775181038026	1.97875053246478	4.40440624365528	3.01788299236048
Hmgb2	-7.67755206596336	-4.78857628856478	-2.61195070285351	-2.61195070285351	-4.40390195024267	-3.01788299236048
Tsc22d2	1.7808754792183	3.40345091583941	5.02602635246054	1.7808754792183	4.37951449107465	2.98894579639965
r_RLTR1B-int	-6.05497662934223	-3.83877603298168	-2.01832554311408	-2.01832554311408	-4.2977245786849	-2.87866503313492
Gm13154	-5.73837654414785	-3.83877603298168	-2.01832554311408	-2.01832554311408	-4.22737025230436	-2.78321763273227
Lats2	1.58300042597182	3.12642584129435	4.66985125661689	1.58300042597182	4.20091052704535	2.75030178801211
Slc2a3	-5.02602635246054	-3.40345091583941	-1.86002550051689	-1.86002550051689	-4.19685156379902	-2.7496719218109
Fxyd6	-5.38220144830421	-3.6013259690859	-1.97875053246478	-1.97875053246478	-4.16684010792976	-2.71134428313207
L1td1	-5.34262643765491	-3.6013259690859	-1.93917552181549	-1.93917552181549	-4.13128714746955	-2.66466671841534
Dppa4	-5.77795155479715	-3.95750106492957	-1.97875053246478	-1.97875053246478	-4.11255386211495	-2.64236845356342
RNA_SPIKE_6	-5.06560136310983	-3.16600085194365	-1.62257543662112	-1.62257543662112	-4.10429124494866	-2.63533995301627
r_RodERV21-int	-4.27410115012392	-2.88897577739858	-1.50385040467323	-1.50385040467323	-4.05743493396482	-2.57941224102756
r_L1Md_T	-3.12642584129435	-2.17662558571126	-1.14767530882957	-1.14767530882957	-4.05719239134255	-2.57941224102756
Fgf4	-6.33200170388728	-4.70942626726619	-2.61195070285351	-2.61195070285351	-4.0538774844059	-2.57941224102756
Baz1a	1.97875053246478	4.07622609687746	5.22390140570702	1.97875053246478	4.05282306036192	2.57941224102756
Zfp534	-5.22390140570702	-3.5221759477873	-1.7808754792183	-1.7808754792183	-4.03735242674955	-2.56138240713194
Tmsb4x	1.46427539402394	3.00770080934646	4.5115512140197	1.46427539402394	3.98829065323019	2.49321281268422
Fstl1	1.46427539402394	3.04727581999576	4.70942626726619	1.46427539402394	3.96098411352352	2.45709981462289
Gm5643	-4.07622609687743	-2.6911007241521	-1.34555036207605	-1.34555036207605	-3.94744283245259	-2.44153911461387
Ooep	-5.26347641635632	-3.44302592648871	-1.74130046856901	-1.74130046856901	-3.93305624421762	-2.42462024695008
Fbxo15	-5.34262643765491	-3.83877603298168	-1.97875053246478	-1.97875053246478	-3.89884372906733	-2.3775051725468
Hnrnpa1	-4.11580110752673	-2.6911007241521	-1.34555036207605	-1.34555036207605	-3.88627147325287	-2.36311104583709
Dpy30	-4.39282618207181	-2.80982575609999	-1.38512537272535	-1.38512537272535	-3.82738530333749	-2.27736312510031
Ldhb	-4.43240119272111	-2.92855078804787	-1.42470038337464	-1.42470038337464	-3.82016335048329	-2.27694650031389
Esco2	-4.98645134181124	-3.16600085194365	-1.50385040467323	-1.50385040467323	-3.81895576673251	-2.27694650031389
Lox	1.42470038337464	3.12642584129435	5.22390140570702	1.42470038337464	3.81792883331785	2.27694650031389
Sept1	-5.26347641635632	-3.44302592648871	-1.74130046856901	-1.74130046856901	-3.79909238654084	-2.25926853566892
Set	-3.99707607557887	-2.65152571350281	-1.30597535142675	-1.30597535142675	-3.79843571742324	-2.25926853566892
C230081A13Rik	1.38512537272535	3.04727581999576	4.86772630986334	1.38512537272535	3.79761584474017	2.25926853566892
Zic3	-5.38220144830421	-3.75962601168309	-1.8204504898676	-1.8204504898676	-3.78654701677534	-2.24661509417369
Fam60a	-4.70942626726619	-2.88897577739858	-1.34555036207605	-1.34555036207605	-3.78073756139376	-2.2462983885544
Tagln	1.38512537272535	2.92855078804787	4.66985125661689	1.38512537272535	3.78062353024388	2.2462983885544
Hist1h2ao	-4.5115512140197	-2.96812579869717	-1.46427539402394	-1.46427539402394	-3.76440689364023	-2.22550808397215
Foxh1	-5.06560136310983	-3.6013259690859	-1.70172545791971	-1.70172545791971	-3.75045676400648	-2.20814804807354
Pgc	-5.22390140570702	-3.79920102233238	-1.7808754792183	-1.7808754792183	-3.74683215306897	-2.20681901623753
Hsf2bp	-5.22390140570702	-3.40345091583941	-1.58300042597182	-1.58300042597182	-3.72013638864821	-2.16938571436445
Gsta4	-5.10517637375913	-3.20557586259294	-1.58300042597182	-1.58300042597182	-3.71449455839415	-2.16482070241386
r_GC_rich	-4.86772630986334	-3.32430089454081	-1.54342541532253	-1.54342541532253	-3.70889611092482	-2.16028240215712
r_(A)n	-3.04727581999576	-2.09747556441266	-1.06852528753098	-1.06852528753098	-3.69327852792977	-2.13994814270395
Wisp1	1.18725031947887	2.80982575609999	4.66985125661689	1.18725031947887	3.67701152454396	2.11848671968076
Mnd1	-4.98645134181124	-3.20557586259294	-1.54342541532253	-1.54342541532253	-3.66516800344084	-2.10393142013957
Zfp422	1.46427539402394	3.5617509584366	5.54050149090137	1.46427539402394	3.62561110734989	2.0450760884693
Epcam	-6.17370166129013	-4.15537611817603	-1.97875053246478	-1.97875053246478	-3.61978185921669	-2.0399365781594
Cxx1a	1.26640034077746	2.92855078804787	4.90730132051264	1.26640034077746	3.61060400613726	2.03214165735424
Thbs1	0.989375266232388	2.45365066025633	5.06560136310983	0.989375266232388	3.6097427123086	2.03214165735424
r_(T)n	-2.92855078804787	-2.01832554311408	-0.949800255583097	-0.949800255583097	-3.59593130879623	-2.01405208103707
r_RLTR14-int	-3.91792605428027	-2.45365066025633	-1.10810029818028	-1.10810029818028	-3.59015712074968	-2.00884417630043
Igfbp7	1.10810029818028	2.53280068155492	4.27410115012392	1.10810029818028	3.58674535641804	2.0074066726342
Nasp	-4.551126224669	-2.77025074545069	-1.18725031947887	-1.18725031947887	-3.57927360439222	-2.00616324446539
Dqx1	-7.24222694882109	-5.46135146960281	-2.21620059636055	-2.21620059636055	-3.5789504780755	-2.00616324446539
Cdca7	-6.25285168258872	-4.35325117142251	-1.8204504898676	-1.8204504898676	-3.57854661982684	-2.00616324446539
Trap1a	-5.06560136310983	-3.12642584129435	-1.42470038337464	-1.42470038337464	-3.558436013587	-1.97765992044608
Lgals1	1.18725031947887	2.77025074545069	4.82815129921405	1.18725031947887	3.54694794768732	1.96383326405741
r_ETnERV-int	-4.70942626726619	-2.84940076674929	-1.30597535142675	-1.30597535142675	-3.54506710947721	-1.96383326405741
Serpinh1	1.10810029818028	2.57237569220421	4.43240119272111	1.10810029818028	3.53889971661431	1.95770510709121
F2r	1.22682533012817	2.92855078804787	4.66985125661689	1.22682533012817	3.52394907801945	1.93726477731861
Gtsf1l	-5.10517637375913	-3.28472588389154	-1.42470038337464	-1.42470038337464	-3.50960991508529	-1.91772090137131
Hmga1-rs1	-3.75962601168309	-2.41407564960703	-1.10810029818028	-1.10810029818028	-3.50427100320824	-1.91331284423188
Sall1	-5.34262643765491	-3.5221759477873	-1.66215044727042	-1.66215044727042	-3.50224317997023	-1.91331284423188
Cald1	1.18725031947887	2.88897577739858	5.18432639505772	1.18725031947887	3.49154177189848	1.90099980346536
I1C0022H11Rik	-5.02602635246054	-3.44302592648871	-1.50385040467323	-1.50385040467323	-3.49011496487773	-1.90099980346536
2610005L07Rik	-4.43240119272111	-2.77025074545069	-1.14767530882957	-1.14767530882957	-3.48585263261991	-1.89986716640972
Ccnd2	1.22682533012817	2.84940076674929	4.94687633116194	1.22682533012817	3.48295991507888	1.89986716640972
Gjb5	-5.65922652284926	-3.87835104363098	-1.62257543662112	-1.62257543662112	-3.4826505083079	-1.89986716640972
Cxx1b	1.14767530882957	2.84940076674929	4.86772630986334	1.14767530882957	3.47905661148357	1.89762601857099
Syce2	-4.78857628856478	-3.04727581999576	-1.30597535142675	-1.30597535142675	-3.47422097680248	-1.89390833820997
Sall4	-5.38220144830421	-3.68047599038449	-1.58300042597182	-1.58300042597182	-3.47238511799168	-1.89390833820997
Ahcy	-4.551126224669	-2.96812579869717	-1.18725031947887	-1.18725031947887	-3.46682771672194	-1.88837884229717
Clcn4-2	0.989375266232388	2.49322567090562	4.23452613947462	0.989375266232388	3.4390599292236	1.84631634126589
Pak3	0.989375266232388	2.37450063895773	3.91792605428027	0.989375266232388	3.43573396598487	1.84510956843706
Rpp40	-4.5115512140197	-3.16600085194365	-1.38512537272535	-1.38512537272535	-3.43402870404425	-1.84510956843706
Ankib1	1.10810029818028	2.6911007241521	4.4719762033704	1.10810029818028	3.41669683468143	1.81996907738412
r_ETnERV2-int	-3.75962601168309	-2.41407564960703	-1.02895027688169	-1.02895027688169	-3.41044639336125	-1.81311626418085
Pls3	1.10810029818028	2.6911007241521	4.35325117142251	1.10810029818028	3.40750537801516	1.81173109449369
Fam198b	1.14767530882957	2.65152571350281	4.23452613947462	1.14767530882957	3.39584059965092	1.79581915909134
r_RMER16	-5.26347641635632	-3.5221759477873	-1.30597535142675	-1.30597535142675	-3.38908416970023	-1.78803145408238
Fmr1nb	-4.82815129921405	-3.32430089454081	-1.42470038337464	-1.42470038337464	-3.37702040831784	-1.77476238890012
Qars	-3.87835104363098	-2.45365066025633	-1.06852528753098	-1.06852528753098	-3.37687029256527	-1.77476238890012
Marcks	1.02895027688169	2.53280068155492	4.19495112882532	1.02895027688169	3.37496065347963	1.77476238890012
Col5a1	0.989375266232388	2.41407564960703	4.15537611817603	0.989375266232388	3.37194629233037	1.77312125766087
P4hb	0.949800255583097	2.33492562830844	3.83877603298168	0.949800255583097	3.3663307626517	1.76897037875161
Gng12	1.02895027688169	2.53280068155492	4.07622609687746	1.02895027688169	3.36464961074278	1.76897037875161
Ctgf	1.10810029818028	2.77025074545069	4.551126224669	1.10810029818028	3.3634443715316	1.76897037875161
Btg2	0.949800255583097	2.37450063895773	3.99707607557887	0.949800255583097	3.35459095261764	1.75748482982664
Nanog	-5.02602635246054	-3.5221759477873	-1.46427539402394	-1.46427539402394	-3.33240555581298	-1.72353433368386
Hunk	-6.49030174648447	-4.5115512140197	-1.42470038337464	-1.42470038337464	-3.32789740815332	-1.71924849079858
r_L1_Mm	-3.44302592648871	-2.17662558571126	-0.9102252449338	-0.9102252449338	-3.31111187496658	-1.69415547724412
Ash2l	-3.83877603298168	-2.29535061765914	-0.9102252449338	-0.9102252449338	-3.30764488413583	-1.6915817251622
Nop56	-4.5907012353183	-2.77025074545069	-1.06852528753098	-1.06852528753098	-3.30332110387366	-1.68753256308191
Tdrd12	-4.98645134181124	-3.08685083064506	-1.26640034077746	-1.26640034077746	-3.30118826607089	-1.6871841323777
Prss23	1.06852528753098	2.65152571350281	4.19495112882532	1.06852528753098	3.29089949920872	1.67294815491232
Selm	0.831075223635208	2.17662558571126	3.68047599038449	0.831075223635208	3.28316715435743	1.66503704968901
Fat1	0.9102252449338	2.37450063895773	4.23452613947462	0.9102252449338	3.28245151842173	1.66503704968901
Terf1	-4.86772630986334	-2.96812579869717	-1.18725031947887	-1.18725031947887	-3.27980968915182	-1.66374937790719
Mif	-3.75962601168309	-2.33492562830844	-0.949800255583097	-0.949800255583097	-3.27566913747168	-1.65988728256302
Ehd2	0.831075223635208	2.21620059636055	3.72005100103379	0.831075223635208	3.25616773630726	1.62970068269367
Syngr1	-4.78857628856478	-2.77025074545069	-1.06852528753098	-1.06852528753098	-3.25139888272634	-1.62470501980758
Kif26b	1.22682533012817	3.24515087324224	4.43240119272111	1.22682533012817	3.24924025580408	1.62417862407605
Gmnn	-4.63027624596759	-2.88897577739858	-1.22682533012817	-1.22682533012817	-3.24425521882455	-1.61877289252519
Gldc	-4.86772630986334	-3.04727581999576	-1.22682533012817	-1.22682533012817	-3.24107887560302	-1.61646001406649
Lrrc58	0.949800255583097	2.49322567090562	4.31367616077322	0.949800255583097	3.23513509435748	1.61164872664608
Phc1	-4.03665108622817	-2.41407564960703	-0.949800255583097	-0.949800255583097	-3.23464931941345	-1.61164872664608
r_RMER20B	-4.98645134181124	-2.96812579869717	-0.949800255583097	-0.949800255583097	-3.22942752605516	-1.60575935002089
Clint1	1.26640034077746	3.04727581999576	4.70942626726619	1.26640034077746	3.22709344706678	1.60482750326365
Gorasp2	0.791500212985911	2.09747556441266	3.5221759477873	0.791500212985911	3.2247160717301	1.6038039485053
Stk39	1.06852528753098	2.84940076674929	4.5907012353183	1.06852528753098	3.21448153846239	1.58920549703807
Gnas	0.9102252449338	2.37450063895773	4.11580110752673	0.9102252449338	3.20882895346058	1.58407659731404
Psma8	-5.06560136310983	-3.5221759477873	-1.50385040467323	-1.50385040467323	-3.20798952900544	-1.58407659731404
Siah1a	0.949800255583097	2.57237569220421	4.27410115012392	0.949800255583097	3.20311921362401	1.57867648194312
Rpl10l	-4.90730132051264	-3.28472588389154	-1.30597535142675	-1.30597535142675	-3.19852396045572	-1.57373324931872
Ccdc48	-4.94687633116194	-2.92855078804787	-1.14767530882957	-1.14767530882957	-3.19646320902383	-1.57316408142316
LOC100303645	-4.74900127791549	-3.32430089454081	-1.34555036207605	-1.34555036207605	-3.1923260083185	-1.5690352419246
2900097C17Rik	0.831075223635208	2.29535061765914	3.75962601168309	0.831075223635208	3.19064264005913	1.5690352419246
r_RLTR12B	-4.11580110752673	-2.45365066025633	-0.9102252449338	-0.9102252449338	-3.18457489294517	-1.56147258214793
S100a11	0.949800255583097	2.53280068155492	4.43240119272111	0.949800255583097	3.18179149601835	1.55958927385609
Cdh11	0.831075223635208	2.29535061765914	3.87835104363098	0.831075223635208	3.18002008255189	1.5594467550053
Klf5	-5.73837654414785	-3.68047599038449	-1.42470038337464	-1.42470038337464	-3.17793320564913	-1.55874166999052
Zfp503	0.9102252449338	2.33492562830844	3.95750106492957	0.9102252449338	3.17142846867621	1.55035401649696
Ncapd3	-4.90730132051264	-3.04727581999576	-1.26640034077746	-1.26640034077746	-3.16285798674372	-1.54164949884913
Gdf3	-4.551126224669	-2.84940076674929	-1.06852528753098	-1.06852528753098	-3.1620732896118	-1.54164949884913
Pdhb	-3.83877603298168	-2.37450063895773	-0.870650234284502	-0.870650234284502	-3.1599550007913	-1.54164949884913
Msrb3	0.751925202336617	2.05790055376337	3.5221759477873	0.751925202336617	3.15980798972672	1.54164949884913
Brca1	-7.1235019168732	-4.70942626726619	-1.18725031947887	-1.18725031947887	-3.15540221170336	-1.53947738837687
2210010C17Rik	-4.74900127791549	-3.40345091583941	-1.34555036207605	-1.34555036207605	-3.1553007637618	-1.53947738837687
Klhl31	-3.95750106492957	-2.37450063895773	-0.9102252449338	-0.9102252449338	-3.15152814978702	-1.53611755332959
Ext1	0.751925202336617	2.09747556441266	3.5221759477873	0.751925202336617	3.14924385364034	1.53611755332959
Ahnak	0.870650234284502	2.37450063895773	4.4719762033704	0.870650234284502	3.14854062154519	1.53611755332959
Mapre3	0.9102252449338	2.49322567090562	4.35325117142251	0.9102252449338	3.14295371230033	1.52917552184387
Mecp2	0.831075223635208	2.33492562830844	3.95750106492957	0.831075223635208	3.12823687152096	1.50884536373111
Cr1l	0.989375266232388	2.77025074545069	4.5115512140197	0.989375266232388	3.12812582622152	1.50884536373111
Ppfibp1	0.751925202336617	2.17662558571126	3.68047599038449	0.751925202336617	3.12426017164857	1.50484241844654
2810025M15Rik	-4.07622609687743	-2.53280068155492	-0.9102252449338	-0.9102252449338	-3.11956946715635	-1.49938020052671
Dnmt3l	-4.98645134181124	-3.482600937138	-1.30597535142675	-1.30597535142675	-3.11493791494701	-1.49753205211617
Pja2	0.870650234284502	2.33492562830844	3.87835104363098	0.870650234284502	3.11433962419456	1.49753205211617
Hist1h2ae	-4.35325117142251	-2.77025074545069	-1.10810029818028	-1.10810029818028	-3.11176682138871	-1.49753205211617
Tpm4	0.831075223635208	2.33492562830844	3.95750106492957	0.831075223635208	3.11172022085506	1.49753205211617
Cpe	0.9102252449338	2.61195070285351	4.43240119272111	0.9102252449338	3.11077132216645	1.49753205211617
App	0.870650234284502	2.45365066025633	4.23452613947462	0.870650234284502	3.10154355677398	1.48484546834016
Actn1	0.791500212985911	2.29535061765914	3.95750106492957	0.791500212985911	3.09844297321414	1.48484546834016
Rpsa	-3.40345091583941	-2.09747556441266	-0.791500212985911	-0.791500212985911	-3.09831135044656	-1.48484546834016
Lrp1	0.751925202336617	2.13705057506196	3.83877603298168	0.751925202336617	3.09745378391247	1.48484546834016
Fkbp5	-4.43240119272111	-2.57237569220421	-0.989375266232388	-0.989375266232388	-3.08790119708457	-1.47317070518165
r_RLTR20D	-5.42177645895351	-3.482600937138	-1.38512537272535	-1.38512537272535	-3.08780006648342	-1.47317070518165
Tmem30a	0.751925202336617	2.13705057506196	3.64090097973519	0.751925202336617	3.08613208748387	1.47313263366165
Pxdn	0.870650234284502	2.53280068155492	4.35325117142251	0.870650234284502	3.08420108446094	1.47313263366165
Tmem180	-6.21327667193942	-4.31367616077322	-1.42470038337464	-1.42470038337464	-3.08332876706715	-1.47313263366165
r_L1_Mus3	-3.44302592648871	-2.09747556441266	-0.791500212985911	-0.791500212985911	-3.07804474064441	-1.46643824322063
Lrrfip1	0.751925202336617	2.21620059636055	3.75962601168309	0.751925202336617	3.07305536377117	1.46568483700111
Cldn6	-4.66985125661689	-3.20557586259294	-1.18725031947887	-1.18725031947887	-3.06726970056668	-1.46568483700111
Fam114a1	0.791500212985911	2.21620059636055	3.72005100103379	0.791500212985911	3.06459643632252	1.46568483700111
Crip2	0.751925202336617	2.21620059636055	3.83877603298168	0.751925202336617	3.06433949715409	1.46568483700111
Trim6	-4.94687633116194	-3.08685083064506	-1.14767530882957	-1.14767530882957	-3.06319760588289	-1.46568483700111
Bgn	1.10810029818028	3.16600085194365	5.38220144830421	1.10810029818028	3.06301582541318	1.46568483700111
Timeless	-4.5907012353183	-2.80982575609999	-1.02895027688169	-1.02895027688169	-3.06298099583933	-1.46568483700111
Gmfg	-4.74900127791549	-3.04727581999576	-1.06852528753098	-1.06852528753098	-3.06278495228397	-1.46568483700111
Alg9	0.870650234284502	2.49322567090562	4.07622609687746	0.870650234284502	3.06172324634534	1.46568483700111
Igf1r	0.751925202336617	2.17662558571126	3.68047599038449	0.751925202336617	3.06160402039387	1.46568483700111
Shmt1	-4.90730132051264	-2.77025074545069	-1.10810029818028	-1.10810029818028	-3.06115719343265	-1.46568483700111
Morc1	-5.02602635246054	-3.40345091583941	-1.26640034077746	-1.26640034077746	-3.0603715770239	-1.46568483700111
Ywhab	0.672775181038026	2.01832554311408	3.5221759477873	0.672775181038026	3.05896429168861	1.46568483700111
Hmgb1	-3.6013259690859	-2.13705057506196	-0.751925202336617	-0.751925202336617	-3.05555380799239	-1.46568483700111
Calu	0.831075223635208	2.49322567090562	4.35325117142251	0.831075223635208	3.05420279596509	1.46568483700111
Memo1	0.71235019168732	2.09747556441266	3.68047599038449	0.71235019168732	3.05366735335533	1.46568483700111
B2m	0.831075223635208	2.37450063895773	4.15537611817603	0.831075223635208	3.05356734694188	1.46568483700111
Pdlim5	0.71235019168732	2.17662558571126	3.68047599038449	0.71235019168732	3.05086140283309	1.46333741879024
Hmga2	0.949800255583097	2.96812579869717	5.34262643765491	0.949800255583097	3.04341036563431	1.45484831684171
Jarid2	-4.5115512140197	-2.6911007241521	-0.949800255583097	-0.949800255583097	-3.04204576441446	-1.45484831684171
Clip3	0.751925202336617	2.25577560700985	3.83877603298168	0.751925202336617	3.04194862478465	1.45484831684171
Col1a2	0.949800255583097	3.00770080934646	5.81752656544645	0.949800255583097	3.03459513989681	1.44662664485017
Slc7a3	-5.18432639505772	-3.44302592648871	-1.26640034077746	-1.26640034077746	-3.03408125140435	-1.44662664485017
r_(CCTG)n	0.71235019168732	2.17662558571126	3.72005100103379	0.71235019168732	3.03323886482782	1.44662664485017
Dnajb4	0.71235019168732	2.13705057506196	3.75962601168309	0.71235019168732	3.03145128588955	1.44582003969098
Dhx16	-4.11580110752673	-2.49322567090562	-0.989375266232388	-0.989375266232388	-3.02783899546001	-1.44360078375446
Phldb2	0.831075223635208	2.49322567090562	4.19495112882532	0.831075223635208	3.02754495122996	1.44360078375446
Hnrnpf	-4.19495112882532	-2.41407564960703	-0.831075223635208	-0.831075223635208	-3.02260497395525	-1.44004129371332
Pmepa1	0.71235019168732	2.13705057506196	3.68047599038449	0.71235019168732	3.02161087306197	1.44004129371332
r_RLTR10A	-4.31367616077322	-2.61195070285351	-0.949800255583097	-0.949800255583097	-3.02159075324674	-1.44004129371332
Azi2	0.71235019168732	2.13705057506196	3.6013259690859	0.71235019168732	3.01971941114102	1.43927320335794
r_RLTR31A_Mm	-4.27410115012392	-2.57237569220421	-0.949800255583097	-0.949800255583097	-3.01636126994187	-1.43927320335794
Wisp2	0.9102252449338	2.77025074545069	4.98645134181124	0.9102252449338	3.01632583291481	1.43927320335794
Midn	0.71235019168732	2.13705057506196	3.75962601168309	0.71235019168732	3.01599430688893	1.43927320335794
Cdca8	-4.78857628856478	-2.49322567090562	-0.870650234284502	-0.870650234284502	-3.00963043565844	-1.43249151873944
Arhgdia	0.71235019168732	2.13705057506196	3.75962601168309	0.71235019168732	3.0091000136619	1.43249151873944
