"Library" "Well" "Hours" "Media" "Mapped.Fragments" "Pseudotime" "State"
"T0_CT_C09" "SCC10013_C09" "C09" "0" "GM" 4008143 35.1506634015897 "1"
"T0_CT_C11" "SCC10013_C11" "C11" "0" "GM" 3279744 34.1301910973644 "1"
"T0_CT_C12" "SCC10013_C12" "C12" "0" "GM" 1692120 13.1717671276489 "1"
"T0_CT_D01" "SCC10013_D01" "D01" "0" "GM" 2051095 21.0077777924148 "1"
"T0_CT_D02" "SCC10013_D02" "D02" "0" "GM" 3104750 24.5274535931849 "1"
"T0_CT_D03" "SCC10013_D03" "D03" "0" "GM" 1187743 15.1658579264772 "1"
"T0_CT_D05" "SCC10013_D05" "D05" "0" "GM" 2337353 31.1426321181482 "1"
"T0_CT_D06" "SCC10013_D06" "D06" "0" "GM" 2231260 17.4719543269733 "1"
"T0_CT_D07" "SCC10013_D07" "D07" "0" "GM" 2057178 23.6620569229418 "1"
"T0_CT_D08" "SCC10013_D08" "D08" "0" "GM" 2558819 15.4087673791062 "1"
"T0_CT_D09" "SCC10013_D09" "D09" "0" "GM" 1383564 34.9728194559531 "1"
"T0_CT_D11" "SCC10013_D11" "D11" "0" "GM" 2281706 33.8772453401487 "1"
"T0_CT_D12" "SCC10013_D12" "D12" "0" "GM" 2037548 8.45372255393859 "1"
"T0_CT_E01" "SCC10013_E01" "E01" "0" "GM" 2279324 16.2065111389883 "1"
"T0_CT_E03" "SCC10013_E03" "E03" "0" "GM" 2561208 25.9709427935602 "1"
"T0_CT_E04" "SCC10013_E04" "E04" "0" "GM" 2236711 33.6932480023874 "1"
"T0_CT_E05" "SCC10013_E05" "E05" "0" "GM" 3518598 43.7738014214654 "2"
"T0_CT_E06" "SCC10013_E06" "E06" "0" "GM" 2870788 18.7291466198601 "1"
"T0_CT_E07" "SCC10013_E07" "E07" "0" "GM" 2779571 17.2505974170659 "1"
"T0_CT_E08" "SCC10013_E08" "E08" "0" "GM" 2458409 14.0922771809945 "1"
"T0_CT_E09" "SCC10013_E09" "E09" "0" "GM" 2596721 18.3728495148622 "1"
"T0_CT_E10" "SCC10013_E10" "E10" "0" "GM" 3486472 36.5428918986381 "1"
"T0_CT_E11" "SCC10013_E11" "E11" "0" "GM" 3288396 13.459916285512 "1"
"T0_CT_E12" "SCC10013_E12" "E12" "0" "GM" 2368541 19.5002058065328 "1"
"T0_CT_F01" "SCC10013_F01" "F01" "0" "GM" 3220023 10.6067527230279 "1"
"T0_CT_F02" "SCC10013_F02" "F02" "0" "GM" 2810639 10.9989944039991 "1"
"T0_CT_F03" "SCC10013_F03" "F03" "0" "GM" 2257880 11.11392303582 "1"
"T0_CT_F04" "SCC10013_F04" "F04" "0" "GM" 3037056 8.01868260903671 "1"
"T0_CT_F05" "SCC10013_F05" "F05" "0" "GM" 3203393 21.9917145121182 "1"
"T0_CT_F06" "SCC10013_F06" "F06" "0" "GM" 1355627 17.7502496467787 "1"
"T0_CT_F07" "SCC10013_F07" "F07" "0" "GM" 1897274 28.7702026630376 "1"
"T0_CT_F09" "SCC10013_F09" "F09" "0" "GM" 3521784 34.3451690092517 "1"
"T0_CT_F11" "SCC10013_F11" "F11" "0" "GM" 3848412 20.4010809525089 "1"
"T0_CT_F12" "SCC10013_F12" "F12" "0" "GM" 3196118 11.8127623207543 "1"
"T0_CT_G01" "SCC10013_G01" "G01" "0" "GM" 1523601 15.8103058150376 "1"
"T0_CT_G02" "SCC10013_G02" "G02" "0" "GM" 1392394 31.3160227545453 "1"
"T0_CT_G03" "SCC10013_G03" "G03" "0" "GM" 2772912 19.3990257996288 "1"
"T0_CT_G04" "SCC10013_G04" "G04" "0" "GM" 1763364 17.5532558592188 "1"
"T0_CT_G07" "SCC10013_G07" "G07" "0" "GM" 2289830 14.9742919105006 "1"
"T0_CT_G08" "SCC10013_G08" "G08" "0" "GM" 2184040 17.921869537154 "1"
"T0_CT_G09" "SCC10013_G09" "G09" "0" "GM" 2508444 53.7104513281197 "2"
"T0_CT_G11" "SCC10013_G11" "G11" "0" "GM" 2270042 31.5482992076671 "1"
"T0_CT_H01" "SCC10013_H01" "H01" "0" "GM" 2298830 40.9017830629339 "1"
"T0_CT_H02" "SCC10013_H02" "H02" "0" "GM" 1176525 33.3031165411566 "1"
"T0_CT_H04" "SCC10013_H04" "H04" "0" "GM" 2666478 19.8904184690045 "1"
"T0_CT_H05" "SCC10013_H05" "H05" "0" "GM" 3108148 39.3292285222244 "1"
"T0_CT_H08" "SCC10013_H08" "H08" "0" "GM" 2408625 29.8963652982008 "1"
"T0_CT_H09" "SCC10013_H09" "H09" "0" "GM" 3038027 32.7778194645655 "1"
"T0_CT_H12" "SCC10013_H12" "H12" "0" "GM" 3577480 31.8846267087204 "1"
"T24_CT_A01" "SCC10014_A01" "A01" "24" "DM" 2188790 53.4253783479811 "2"
"T24_CT_A03" "SCC10014_A03" "A03" "24" "DM" 1658811 46.3219501093918 "3"
"T24_CT_A04" "SCC10014_A04" "A04" "24" "DM" 1832449 30.7442697960615 "1"
"T24_CT_A05" "SCC10014_A05" "A05" "24" "DM" 3471623 3.43941490472243 "1"
"T24_CT_A07" "SCC10014_A07" "A07" "24" "DM" 2780700 44.7367661105931 "3"
"T24_CT_A08" "SCC10014_A08" "A08" "24" "DM" 1777554 69.9797206711835 "2"
"T24_CT_A09" "SCC10014_A09" "A09" "24" "DM" 1503801 60.5490183800309 "2"
"T24_CT_A10" "SCC10014_A10" "A10" "24" "DM" 2380126 57.1548413579619 "2"
"T24_CT_B01" "SCC10014_B01" "B01" "24" "DM" 2315226 59.1091265129388 "2"
"T24_CT_B02" "SCC10014_B02" "B02" "24" "DM" 3323706 61.1449470968641 "2"
"T24_CT_B03" "SCC10014_B03" "B03" "24" "DM" 1648808 44.6374929981221 "2"
"T24_CT_B05" "SCC10014_B05" "B05" "24" "DM" 2776679 43.3544705396289 "3"
"T24_CT_B06" "SCC10014_B06" "B06" "24" "DM" 2053943 45.0443988723617 "2"
"T24_CT_B07" "SCC10014_B07" "B07" "24" "DM" 2679074 74.3126811683522 "2"
"T24_CT_B08" "SCC10014_B08" "B08" "24" "DM" 2912198 46.657988810107 "3"
"T24_CT_B09" "SCC10014_B09" "B09" "24" "DM" 2812646 72.3013077627764 "2"
"T24_CT_B11" "SCC10014_B11" "B11" "24" "DM" 2656668 3.80855430440668 "1"
"T24_CT_C01" "SCC10014_C01" "C01" "24" "DM" 2552622 71.447107889532 "2"
"T24_CT_C02" "SCC10014_C02" "C02" "24" "DM" 3606704 46.1618844837201 "3"
"T24_CT_C03" "SCC10014_C03" "C03" "24" "DM" 4022675 59.2431346545163 "2"
"T24_CT_C05" "SCC10014_C05" "C05" "24" "DM" 2803076 40.2415373152012 "1"
"T24_CT_C07" "SCC10014_C07" "C07" "24" "DM" 1972882 45.2450862717338 "2"
"T24_CT_C08" "SCC10014_C08" "C08" "24" "DM" 2505036 47.5041214195008 "3"
"T24_CT_C09" "SCC10014_C09" "C09" "24" "DM" 3771000 47.1972678400865 "3"
"T24_CT_C10" "SCC10014_C10" "C10" "24" "DM" 1498592 68.3070982996846 "2"
"T24_CT_C11" "SCC10014_C11" "C11" "24" "DM" 3669300 48.0329621674737 "2"
"T24_CT_C12" "SCC10014_C12" "C12" "24" "DM" 1959939 42.9664844802174 "3"
"T24_CT_D01" "SCC10014_D01" "D01" "24" "DM" 3303819 44.1734976962529 "3"
"T24_CT_D02" "SCC10014_D02" "D02" "24" "DM" 2512214 27.6504817790227 "1"
"T24_CT_D03" "SCC10014_D03" "D03" "24" "DM" 3186870 40.0340994482604 "1"
"T24_CT_D04" "SCC10014_D04" "D04" "24" "DM" 2251225 64.874710685064 "2"
"T24_CT_D05" "SCC10014_D05" "D05" "24" "DM" 2475783 59.9339327120146 "2"
"T24_CT_D06" "SCC10014_D06" "D06" "24" "DM" 1523650 59.6374963415868 "2"
"T24_CT_D07" "SCC10014_D07" "D07" "24" "DM" 2210988 58.9888881441541 "2"
"T24_CT_D08" "SCC10014_D08" "D08" "24" "DM" 2821036 47.0415838708781 "3"
"T24_CT_D09" "SCC10014_D09" "D09" "24" "DM" 1965158 46.5328154060005 "3"
"T24_CT_D10" "SCC10014_D10" "D10" "24" "DM" 2204281 41.3244784158345 "1"
"T24_CT_D11" "SCC10014_D11" "D11" "24" "DM" 2537657 43.4974503283997 "3"
"T24_CT_E01" "SCC10014_E01" "E01" "24" "DM" 2231185 62.0506978473572 "2"
"T24_CT_E02" "SCC10014_E02" "E02" "24" "DM" 3788651 69.4646218683514 "2"
"T24_CT_E04" "SCC10014_E04" "E04" "24" "DM" 2293525 42.3430634468751 "3"
"T24_CT_E05" "SCC10014_E05" "E05" "24" "DM" 2815696 74.6218109185918 "2"
"T24_CT_E07" "SCC10014_E07" "E07" "24" "DM" 2282322 48.3787746328877 "2"
"T24_CT_E09" "SCC10014_E09" "E09" "24" "DM" 3375345 66.9369022033988 "2"
"T24_CT_E11" "SCC10014_E11" "E11" "24" "DM" 2993343 57.2281958183716 "2"
"T24_CT_E12" "SCC10014_E12" "E12" "24" "DM" 4099565 43.3952925219861 "3"
"T24_CT_F01" "SCC10014_F01" "F01" "24" "DM" 2347661 45.2625040232909 "2"
"T24_CT_F02" "SCC10014_F02" "F02" "24" "DM" 3398510 40.465029180876 "1"
"T24_CT_F03" "SCC10014_F03" "F03" "24" "DM" 4158845 56.5963425551858 "2"
"T24_CT_F04" "SCC10014_F04" "F04" "24" "DM" 3421771 50.911543815034 "2"
"T24_CT_F05" "SCC10014_F05" "F05" "24" "DM" 2352969 60.4668134744333 "2"
"T24_CT_F07" "SCC10014_F07" "F07" "24" "DM" 3838145 54.6944516341506 "2"
"T24_CT_F08" "SCC10014_F08" "F08" "24" "DM" 3161902 69.7294657889211 "2"
"T24_CT_F09" "SCC10014_F09" "F09" "24" "DM" 1569367 39.7654664274079 "1"
"T24_CT_F10" "SCC10014_F10" "F10" "24" "DM" 1904623 47.6254336918522 "2"
"T24_CT_F11" "SCC10014_F11" "F11" "24" "DM" 2040549 56.4446836852972 "2"
"T24_CT_F12" "SCC10014_F12" "F12" "24" "DM" 2804473 26.6723968681077 "1"
"T24_CT_G01" "SCC10014_G01" "G01" "24" "DM" 1815355 41.1490315635885 "1"
"T24_CT_G02" "SCC10014_G02" "G02" "24" "DM" 2298896 74.9678874039591 "2"
"T24_CT_G03" "SCC10014_G03" "G03" "24" "DM" 3234764 70.1217077375257 "2"
"T24_CT_G04" "SCC10014_G04" "G04" "24" "DM" 1694063 43.8498075458731 "2"
"T24_CT_G05" "SCC10014_G05" "G05" "24" "DM" 2013585 44.8388707072935 "3"
"T24_CT_G06" "SCC10014_G06" "G06" "24" "DM" 2184941 69.3008974263138 "2"
"T24_CT_G08" "SCC10014_G08" "G08" "24" "DM" 3259994 63.9866916032792 "2"
"T24_CT_G10" "SCC10014_G10" "G10" "24" "DM" 1839766 41.6049742103263 "1"
"T24_CT_G11" "SCC10014_G11" "G11" "24" "DM" 2579187 73.9575456234282 "2"
"T24_CT_G12" "SCC10014_G12" "G12" "24" "DM" 3622485 58.4007484304871 "2"
"T24_CT_H01" "SCC10014_H01" "H01" "24" "DM" 1674147 4.18464521892959 "1"
"T24_CT_H02" "SCC10014_H02" "H02" "24" "DM" 2260849 59.7866285730903 "2"
"T24_CT_H03" "SCC10014_H03" "H03" "24" "DM" 3758057 42.1090706948749 "1"
"T24_CT_H05" "SCC10014_H05" "H05" "24" "DM" 2825594 47.9422894448876 "2"
"T24_CT_H07" "SCC10014_H07" "H07" "24" "DM" 3085294 54.4575431196577 "2"
"T24_CT_H09" "SCC10014_H09" "H09" "24" "DM" 4112586 62.8374516152241 "2"
"T24_CT_H12" "SCC10014_H12" "H12" "24" "DM" 2715808 58.9708912519503 "2"
"T48_CT_A01" "SCC10015_A01" "A01" "48" "DM" 1359414 43.2753324010275 "3"
"T48_CT_A02" "SCC10015_A02" "A02" "48" "DM" 1730264 42.8592895051615 "3"
"T48_CT_A03" "SCC10015_A03" "A03" "48" "DM" 2114684 73.2667348380479 "2"
"T48_CT_A04" "SCC10015_A04" "A04" "48" "DM" 2068361 45.1613085222506 "3"
"T48_CT_A05" "SCC10015_A05" "A05" "48" "DM" 1351544 48.5027691061517 "2"
"T48_CT_A06" "SCC10015_A06" "A06" "48" "DM" 1661950 72.4374009287354 "2"
"T48_CT_A07" "SCC10015_A07" "A07" "48" "DM" 1473218 6.62503853214891 "1"
"T48_CT_A08" "SCC10015_A08" "A08" "48" "DM" 1589727 45.4613378678264 "2"
"T48_CT_A09" "SCC10015_A09" "A09" "48" "DM" 1724956 61.9376288686417 "2"
"T48_CT_A10" "SCC10015_A10" "A10" "48" "DM" 1841457 44.3204855010863 "3"
"T48_CT_A11" "SCC10015_A11" "A11" "48" "DM" 1069553 42.3765355716742 "3"
"T48_CT_A12" "SCC10015_A12" "A12" "48" "DM" 2744546 60.9479579317728 "2"
"T48_CT_B01" "SCC10015_B01" "B01" "48" "DM" 2796898 44.7548677141041 "3"
"T48_CT_B02" "SCC10015_B02" "B02" "48" "DM" 1906257 42.7131941589084 "3"
"T48_CT_B03" "SCC10015_B03" "B03" "48" "DM" 1744796 72.5460053044713 "2"
"T48_CT_B04" "SCC10015_B04" "B04" "48" "DM" 2326299 75.7048944860314 "2"
"T48_CT_B06" "SCC10015_B06" "B06" "48" "DM" 2040009 45.0663727834672 "3"
"T48_CT_B08" "SCC10015_B08" "B08" "48" "DM" 1673769 71.2687332922164 "2"
"T48_CT_B10" "SCC10015_B10" "B10" "48" "DM" 2259636 45.6161535089897 "3"
"T48_CT_B11" "SCC10015_B11" "B11" "48" "DM" 1406287 43.0262240402313 "3"
"T48_CT_B12" "SCC10015_B12" "B12" "48" "DM" 2446179 55.5581038903822 "2"
"T48_CT_C01" "SCC10015_C01" "C01" "48" "DM" 1982341 43.0897980506025 "3"
"T48_CT_C02" "SCC10015_C02" "C02" "48" "DM" 2601827 65.3946674551822 "2"
"T48_CT_C03" "SCC10015_C03" "C03" "48" "DM" 2468082 42.5166335126607 "3"
"T48_CT_C04" "SCC10015_C04" "C04" "48" "DM" 2686539 74.4776667565173 "2"
"T48_CT_C05" "SCC10015_C05" "C05" "48" "DM" 1921824 51.0017803241691 "2"
"T48_CT_C06" "SCC10015_C06" "C06" "48" "DM" 1613732 47.0315959544173 "2"
"T48_CT_C07" "SCC10015_C07" "C07" "48" "DM" 1746314 56.2274823837953 "2"
"T48_CT_C09" "SCC10015_C09" "C09" "48" "DM" 1589459 27.940590419668 "1"
"T48_CT_C10" "SCC10015_C10" "C10" "48" "DM" 2196778 70.6855737874824 "2"
"T48_CT_C11" "SCC10015_C11" "C11" "48" "DM" 2639816 45.5197025233065 "2"
"T48_CT_D01" "SCC10015_D01" "D01" "48" "DM" 2182603 46.4650601271113 "2"
"T48_CT_D02" "SCC10015_D02" "D02" "48" "DM" 3139829 49.5710159736131 "2"
"T48_CT_D03" "SCC10015_D03" "D03" "48" "DM" 2593666 65.6699451859206 "2"
"T48_CT_D04" "SCC10015_D04" "D04" "48" "DM" 3263677 48.1985892956644 "2"
"T48_CT_D06" "SCC10015_D06" "D06" "48" "DM" 1255378 41.9749504778171 "1"
"T48_CT_D07" "SCC10015_D07" "D07" "48" "DM" 1730457 42.8967314936106 "3"
"T48_CT_D08" "SCC10015_D08" "D08" "48" "DM" 2488024 61.1873933873363 "2"
"T48_CT_D09" "SCC10015_D09" "D09" "48" "DM" 2681880 45.8468359710851 "2"
"T48_CT_D10" "SCC10015_D10" "D10" "48" "DM" 3453497 55.7334278271038 "2"
"T48_CT_D11" "SCC10015_D11" "D11" "48" "DM" 1888293 30.372802018824 "1"
"T48_CT_D12" "SCC10015_D12" "D12" "48" "DM" 2718262 75.819121869923 "2"
"T48_CT_E01" "SCC10015_E01" "E01" "48" "DM" 1922966 50.2694476793131 "2"
"T48_CT_E02" "SCC10015_E02" "E02" "48" "DM" 2263188 56.1843097635689 "2"
"T48_CT_E03" "SCC10015_E03" "E03" "48" "DM" 1909616 53.5789194160125 "2"
"T48_CT_E04" "SCC10015_E04" "E04" "48" "DM" 2027710 56.0761308741444 "2"
"T48_CT_E05" "SCC10015_E05" "E05" "48" "DM" 2151581 46.0992787136509 "2"
"T48_CT_E06" "SCC10015_E06" "E06" "48" "DM" 3087037 76.6541594629283 "2"
"T48_CT_E07" "SCC10015_E07" "E07" "48" "DM" 1485919 74.1751701564233 "2"
"T48_CT_E08" "SCC10015_E08" "E08" "48" "DM" 2291170 46.7769890207137 "3"
"T48_CT_E10" "SCC10015_E10" "E10" "48" "DM" 1439735 63.0516749645696 "2"
"T48_CT_E11" "SCC10015_E11" "E11" "48" "DM" 2636987 70.3108503570297 "2"
"T48_CT_E12" "SCC10015_E12" "E12" "48" "DM" 3095967 5.97007824589066 "1"
"T48_CT_F01" "SCC10015_F01" "F01" "48" "DM" 3318918 44.6506802521113 "3"
"T48_CT_F02" "SCC10015_F02" "F02" "48" "DM" 2376768 51.1466303942306 "2"
"T48_CT_F03" "SCC10015_F03" "F03" "48" "DM" 2345258 50.8063166153404 "2"
"T48_CT_F05" "SCC10015_F05" "F05" "48" "DM" 4076528 44.9754675601832 "2"
"T48_CT_F07" "SCC10015_F07" "F07" "48" "DM" 2712372 62.3733265900469 "2"
"T48_CT_F09" "SCC10015_F09" "F09" "48" "DM" 2643734 42.2654800840957 "3"
"T48_CT_F10" "SCC10015_F10" "F10" "48" "DM" 2981428 49.2338727966452 "2"
"T48_CT_F11" "SCC10015_F11" "F11" "48" "DM" 2781779 75.3064422535436 "2"
"T48_CT_G01" "SCC10015_G01" "G01" "48" "DM" 2272889 64.4587853973354 "2"
"T48_CT_G02" "SCC10015_G02" "G02" "48" "DM" 1556185 46.3825351752931 "3"
"T48_CT_G03" "SCC10015_G03" "G03" "48" "DM" 2265075 43.2120332270616 "3"
"T48_CT_G07" "SCC10015_G07" "G07" "48" "DM" 2163148 45.1302400134745 "3"
"T48_CT_G08" "SCC10015_G08" "G08" "48" "DM" 2243094 46.6391183499203 "2"
"T48_CT_G09" "SCC10015_G09" "G09" "48" "DM" 1678699 49.8743115739949 "2"
"T48_CT_G10" "SCC10015_G10" "G10" "48" "DM" 1634529 0 "1"
"T48_CT_G11" "SCC10015_G11" "G11" "48" "DM" 2575038 50.6376087885431 "2"
"T48_CT_G12" "SCC10015_G12" "G12" "48" "DM" 2751116 45.3393172216234 "3"
"T48_CT_H01" "SCC10015_H01" "H01" "48" "DM" 2548368 45.3139671875409 "3"
"T48_CT_H02" "SCC10015_H02" "H02" "48" "DM" 1195865 54.6195402275585 "2"
"T48_CT_H04" "SCC10015_H04" "H04" "48" "DM" 4157603 58.8497805483106 "2"
"T48_CT_H05" "SCC10015_H05" "H05" "48" "DM" 2997779 43.4054866881017 "3"
"T48_CT_H06" "SCC10015_H06" "H06" "48" "DM" 2182808 42.6418555666265 "3"
"T48_CT_H07" "SCC10015_H07" "H07" "48" "DM" 3393111 49.6673756758668 "2"
"T48_CT_H08" "SCC10015_H08" "H08" "48" "DM" 1883404 42.6707073710043 "3"
"T48_CT_H11" "SCC10015_H11" "H11" "48" "DM" 2385927 55.9347052691596 "2"
"T48_CT_H12" "SCC10015_H12" "H12" "48" "DM" 3283266 44.621832766882 "3"
"T72_CT_A01" "SCC10023_A01" "A01" "72" "DM" 1827060 41.8213757676353 "1"
"T72_CT_A05" "SCC10023_A05" "A05" "72" "DM" 1526075 43.1854506027115 "2"
"T72_CT_A08" "SCC10023_A08" "A08" "72" "DM" 1878473 60.7060415000522 "2"
"T72_CT_A09" "SCC10023_A09" "A09" "72" "DM" 1466094 44.0833305290194 "2"
"T72_CT_A11" "SCC10023_A11" "A11" "72" "DM" 1816555 44.9088706611757 "2"
"T72_CT_B01" "SCC10023_B01" "B01" "72" "DM" 2557875 47.3792332583827 "3"
"T72_CT_B02" "SCC10023_B02" "B02" "72" "DM" 3164991 71.8416143795301 "2"
"T72_CT_B03" "SCC10023_B03" "B03" "72" "DM" 2747152 54.2511158011325 "2"
"T72_CT_B04" "SCC10023_B04" "B04" "72" "DM" 2918121 76.4950368654356 "2"
"T72_CT_B05" "SCC10023_B05" "B05" "72" "DM" 1826364 56.6475228346391 "2"
"T72_CT_B06" "SCC10023_B06" "B06" "72" "DM" 2383629 75.5391505520806 "2"
"T72_CT_B08" "SCC10023_B08" "B08" "72" "DM" 2041937 26.3392010996615 "1"
"T72_CT_B09" "SCC10023_B09" "B09" "72" "DM" 3967707 74.0905796314644 "2"
"T72_CT_B11" "SCC10023_B11" "B11" "72" "DM" 1908334 62.5295457568956 "2"
"T72_CT_B12" "SCC10023_B12" "B12" "72" "DM" 1854980 44.7516614594665 "2"
"T72_CT_C04" "SCC10023_C04" "C04" "72" "DM" 2219810 41.5198478251175 "1"
"T72_CT_C06" "SCC10023_C06" "C06" "72" "DM" 1621404 60.2964438221227 "2"
"T72_CT_C07" "SCC10023_C07" "C07" "72" "DM" 1674227 40.6622526418689 "1"
"T72_CT_C09" "SCC10023_C09" "C09" "72" "DM" 2301797 62.3175185150013 "2"
"T72_CT_C11" "SCC10023_C11" "C11" "72" "DM" 1167113 5.37496808212478 "1"
"T72_CT_D01" "SCC10023_D01" "D01" "72" "DM" 1655813 44.3893870376618 "2"
"T72_CT_D03" "SCC10023_D03" "D03" "72" "DM" 1793983 68.9400404690834 "2"
"T72_CT_D04" "SCC10023_D04" "D04" "72" "DM" 1737502 43.3759037233719 "2"
"T72_CT_D05" "SCC10023_D05" "D05" "72" "DM" 2020404 70.5161291120899 "2"
"T72_CT_D07" "SCC10023_D07" "D07" "72" "DM" 1876610 65.9281836840068 "2"
"T72_CT_D10" "SCC10023_D10" "D10" "72" "DM" 1502883 57.091424452019 "2"
"T72_CT_D11" "SCC10023_D11" "D11" "72" "DM" 2149410 71.6089295433267 "2"
"T72_CT_E04" "SCC10023_E04" "E04" "72" "DM" 1673556 50.617791332351 "2"
"T72_CT_E05" "SCC10023_E05" "E05" "72" "DM" 2042895 41.8147833380862 "1"
"T72_CT_E07" "SCC10023_E07" "E07" "72" "DM" 1574343 54.3881909044378 "2"
"T72_CT_F01" "SCC10023_F01" "F01" "72" "DM" 2893486 46.3375659947286 "2"
"T72_CT_F05" "SCC10023_F05" "F05" "72" "DM" 3257926 46.9022865225448 "3"
"T72_CT_F07" "SCC10023_F07" "F07" "72" "DM" 2165197 69.3873553530862 "2"
"T72_CT_F10" "SCC10023_F10" "F10" "72" "DM" 1216448 41.4066049792836 "1"
"T72_CT_F11" "SCC10023_F11" "F11" "72" "DM" 1711843 27.159224481573 "1"
"T72_CT_G03" "SCC10023_G03" "G03" "72" "DM" 2377935 72.9371846621728 "2"
"T72_CT_G04" "SCC10023_G04" "G04" "72" "DM" 1144826 67.7902554118866 "2"
"T72_CT_G06" "SCC10023_G06" "G06" "72" "DM" 2174516 27.3854274196816 "1"
"T72_CT_G08" "SCC10023_G08" "G08" "72" "DM" 3515865 52.9952240427719 "2"
"T72_CT_G10" "SCC10023_G10" "G10" "72" "DM" 1696956 42.1953714206855 "1"
"T72_CT_G11" "SCC10023_G11" "G11" "72" "DM" 2528508 56.9693942534233 "2"
"T72_CT_H01" "SCC10023_H01" "H01" "72" "DM" 1816497 47.657140729956 "3"
"T72_CT_H03" "SCC10023_H03" "H03" "72" "DM" 2263164 44.569043572831 "2"
"T72_CT_H05" "SCC10023_H05" "H05" "72" "DM" 2174205 10.1923976952202 "1"
"T72_CT_H08" "SCC10023_H08" "H08" "72" "DM" 3396303 5.64010033244455 "1"
"T72_CT_H09" "SCC10023_H09" "H09" "72" "DM" 2899527 2.44982525880138 "1"
"T72_CT_H10" "SCC10023_H10" "H10" "72" "DM" 1812343 56.894102624648 "2"
"T72_CT_H11" "SCC10023_H11" "H11" "72" "DM" 2779634 61.7713985148403 "2"
"T72_CT_H12" "SCC10023_H12" "H12" "72" "DM" 2977019 42.0053370199564 "1"
