"gene_short_name" "biotype" "num_cells_expressed" "use_for_ordering"
"ENSG00000003249.8" "DBNDD1" "protein_coding" 30 FALSE
"ENSG00000003393.10" "ALS2" "protein_coding" 178 FALSE
"ENSG00000003400.10" "CASP10" "protein_coding" 3 FALSE
"ENSG00000003402.14" "CFLAR" "protein_coding" 280 FALSE
"ENSG00000003436.10" "TFPI" "protein_coding" 352 FALSE
"ENSG00000003509.11" "NDUFAF7" "protein_coding" 127 FALSE
"ENSG00000003756.12" "RBM5" "protein_coding" 298 FALSE
"ENSG00000003987.9" "MTMR7" "protein_coding" 25 FALSE
"ENSG00000003989.12" "SLC7A2" "protein_coding" 55 TRUE
"ENSG00000004059.6" "ARF5" "protein_coding" 242 FALSE
"ENSG00000004139.9" "SARM1" "protein_coding" 4 FALSE
"ENSG00000004142.7" "POLDIP2" "processed_transcript" 201 FALSE
"ENSG00000004399.8" "PLXND1" "protein_coding" 169 FALSE
"ENSG00000004455.12" "AK2" "protein_coding" 295 FALSE
"ENSG00000004468.7" "CD38" "protein_coding" 0 FALSE
"ENSG00000004478.5" "FKBP4" "protein_coding" 95 FALSE
"ENSG00000004487.11" "KDM1A" "protein_coding" 230 FALSE
"ENSG00000004534.10" "RBM6" "protein_coding" 324 FALSE
"ENSG00000004660.10" "CAMKK1" "protein_coding" 18 FALSE
"ENSG00000004700.11" "RECQL" "protein_coding" 291 FALSE
"ENSG00000004766.11" "CCDC132" "protein_coding" 84 FALSE
"ENSG00000004776.7" "HSPB6" "protein_coding" 26 FALSE
"ENSG00000004777.13" "ARHGAP33" "protein_coding" 6 FALSE
"ENSG00000004779.5" "NDUFAB1" "protein_coding" 323 FALSE
"ENSG00000004799.7" "PDK4" "protein_coding" 22 FALSE
"ENSG00000004809.9" "SLC22A16" "protein_coding" 0 FALSE
"ENSG00000004838.9" "ZMYND10" "protein_coding" 3 FALSE
"ENSG00000004846.12" "ABCB5" "protein_coding" 0 FALSE
"ENSG00000004848.6" "ARX" "protein_coding" 7 FALSE
"ENSG00000004864.9" "SLC25A13" "protein_coding" 131 FALSE
"ENSG00000004866.14" "ST7" "protein_coding" 133 FALSE
"ENSG00000004897.6" "CDC27" "protein_coding" 273 FALSE
"ENSG00000004939.9" "SLC4A1" "protein_coding" 0 FALSE
"ENSG00000004948.9" "CALCR" "protein_coding" 0 FALSE
"ENSG00000004961.10" "HCCS" "protein_coding" 137 FALSE
"ENSG00000004975.7" "DVL2" "protein_coding" 37 FALSE
"ENSG00000005001.5" "PRSS22" "protein_coding" 0 FALSE
"ENSG00000005007.8" "UPF1" "protein_coding" 81 FALSE
"ENSG00000005020.8" "SKAP2" "protein_coding" 236 FALSE
"ENSG00000005022.5" "SLC25A5" "protein_coding" 345 FALSE
"ENSG00000005059.11" "CCDC109B" "protein_coding" 79 FALSE
"ENSG00000005073.5" "HOXA11" "protein_coding" 34 FALSE
"ENSG00000005075.11" "POLR2J" "protein_coding" 302 FALSE
"ENSG00000005100.8" "DHX33" "protein_coding" 197 FALSE
"ENSG00000005102.8" "MEOX1" "protein_coding" 0 FALSE
"ENSG00000005108.10" "THSD7A" "protein_coding" 0 FALSE
"ENSG00000005156.7" "LIG3" "protein_coding" 97 FALSE
"ENSG00000005175.5" "RPAP3" "protein_coding" 215 FALSE
"ENSG00000005187.7" "ACSM3" "protein_coding" 3 FALSE
"ENSG00000005189.15" "AC004381.6" "protein_coding" 19 FALSE
"ENSG00000005194.10" "CIAPIN1" "protein_coding" 243 FALSE
"ENSG00000005206.11" "SPPL2B" "processed_transcript" 19 FALSE
"ENSG00000005238.15" "FAM214B" "protein_coding" 114 FALSE
"ENSG00000005243.5" "COPZ2" "protein_coding" 80 FALSE
"ENSG00000005249.8" "PRKAR2B" "protein_coding" 5 FALSE
"ENSG00000005302.13" "MSL3" "protein_coding" 207 FALSE
"ENSG00000005339.8" "CREBBP" "protein_coding" 216 FALSE
"ENSG00000005379.11" "BZRAP1" "protein_coding" 1 FALSE
"ENSG00000005381.6" "MPO" "protein_coding" 0 FALSE
"ENSG00000005421.4" "PON1" "protein_coding" 3 FALSE
"ENSG00000005436.9" "GCFC2" "protein_coding" 104 FALSE
"ENSG00000005448.12" "WDR54" "protein_coding" 131 TRUE
"ENSG00000005469.7" "CROT" "protein_coding" 131 FALSE
"ENSG00000005471.11" "ABCB4" "protein_coding" 3 FALSE
"ENSG00000005483.15" "MLL5" "protein_coding" 329 FALSE
"ENSG00000005486.12" "RHBDD2" "protein_coding" 166 FALSE
"ENSG00000005513.9" "SOX8" "protein_coding" 12 FALSE
"ENSG00000005700.10" "IBTK" "protein_coding" 277 FALSE
"ENSG00000005801.12" "ZNF195" "protein_coding" 191 FALSE
"ENSG00000005810.13" "MYCBP2" "protein_coding" 240 FALSE
"ENSG00000005812.6" "FBXL3" "protein_coding" 142 FALSE
"ENSG00000005844.13" "ITGAL" "protein_coding" 2 FALSE
"ENSG00000005882.6" "PDK2" "protein_coding" 74 FALSE
"ENSG00000005884.13" "ITGA3" "protein_coding" 290 FALSE
"ENSG00000005889.11" "ZFX" "protein_coding" 321 FALSE
"ENSG00000005893.11" "LAMP2" "protein_coding" 332 FALSE
"ENSG00000005955.8" "GGNBP2" "protein_coding" 290 FALSE
"ENSG00000005961.13" "ITGA2B" "protein_coding" 1 FALSE
"ENSG00000005981.8" "ASB4" "protein_coding" 0 FALSE
"ENSG00000006007.7" "GDE1" "protein_coding" 219 FALSE
"ENSG00000006015.13" "C19orf60" "protein_coding" 139 FALSE
"ENSG00000006016.6" "CRLF1" "protein_coding" 169 FALSE
"ENSG00000006025.7" "OSBPL7" "protein_coding" 25 FALSE
"ENSG00000006042.7" "TMEM98" "protein_coding" 239 FALSE
"ENSG00000006047.8" "YBX2" "protein_coding" 0 FALSE
"ENSG00000006059.3" "KRT33A" "protein_coding" 0 FALSE
"ENSG00000006062.9" "MAP3K14" "processed_transcript" 48 FALSE
"ENSG00000006071.7" "ABCC8" "protein_coding" 0 FALSE
"ENSG00000006074.4" "CCL18" "protein_coding" 0 FALSE
"ENSG00000006075.11" "CCL3" "protein_coding" 0 FALSE
"ENSG00000006114.11" "SYNRG" "protein_coding" 129 FALSE
"ENSG00000006116.3" "CACNG3" "protein_coding" 0 FALSE
"ENSG00000006118.10" "TMEM132A" "protein_coding" 18 FALSE
"ENSG00000006125.12" "AP2B1" "protein_coding" 280 FALSE
"ENSG00000006128.7" "TAC1" "protein_coding" 0 FALSE
"ENSG00000006194.6" "ZNF263" "protein_coding" 50 FALSE
"ENSG00000006210.6" "CX3CL1" "protein_coding" 0 FALSE
"ENSG00000006282.14" "SPATA20" "protein_coding" 108 FALSE
"ENSG00000006283.13" "CACNA1G" "protein_coding" 0 FALSE
"ENSG00000006327.9" "TNFRSF12A" "protein_coding" 302 FALSE
"ENSG00000006377.9" "DLX6" "protein_coding" 0 FALSE
"ENSG00000006432.11" "MAP3K9" "protein_coding" 7 FALSE
"ENSG00000006451.3" "RALA" "protein_coding" 223 FALSE
"ENSG00000006453.9" "BAIAP2L1" "protein_coding" 2 FALSE
"ENSG00000006459.6" "JHDM1D" "protein_coding" 39 FALSE
"ENSG00000006468.9" "ETV1" "protein_coding" 89 FALSE
"ENSG00000006530.11" "AGK" "protein_coding" 144 FALSE
"ENSG00000006534.11" "ALDH3B1" "protein_coding" 119 FALSE
"ENSG00000006555.6" "TTC22" "protein_coding" 0 FALSE
"ENSG00000006576.12" "PHTF2" "protein_coding" 182 FALSE
"ENSG00000006606.4" "CCL26" "protein_coding" 11 FALSE
"ENSG00000006607.8" "FARP2" "protein_coding" 71 FALSE
"ENSG00000006611.10" "USH1C" "protein_coding" 0 FALSE
"ENSG00000006625.13" "GGCT" "protein_coding" 260 FALSE
"ENSG00000006634.3" "DBF4" "protein_coding" 160 FALSE
"ENSG00000006638.7" "TBXA2R" "protein_coding" 52 FALSE
"ENSG00000006652.9" "IFRD1" "protein_coding" 216 FALSE
"ENSG00000006659.8" "LGALS14" "protein_coding" 0 FALSE
"ENSG00000006695.6" "COX10" "protein_coding" 152 FALSE
"ENSG00000006704.6" "GTF2IRD1" "protein_coding" 102 FALSE
"ENSG00000006712.10" "PAF1" "protein_coding" 147 FALSE
"ENSG00000006715.11" "VPS41" "protein_coding" 230 FALSE
"ENSG00000006740.11" "ARHGAP44" "protein_coding" 10 FALSE
"ENSG00000006744.12" "ELAC2" "protein_coding" 108 FALSE
"ENSG00000006747.10" "SCIN" "protein_coding" 1 FALSE
"ENSG00000006756.11" "ARSD" "protein_coding" 100 FALSE
"ENSG00000006757.7" "PNPLA4" "protein_coding" 84 FALSE
"ENSG00000006788.7" "MYH13" "protein_coding" 7 FALSE
"ENSG00000006831.9" "ADIPOR2" "protein_coding" 168 FALSE
"ENSG00000006837.6" "CDKL3" "protein_coding" 73 FALSE
"ENSG00000007001.8" "UPP2" "protein_coding" 0 FALSE
"ENSG00000007038.6" "PRSS21" "protein_coding" 0 FALSE
"ENSG00000007047.10" "MARK4" "protein_coding" 25 FALSE
"ENSG00000007062.7" "PROM1" "protein_coding" 0 FALSE
"ENSG00000007080.6" "CCDC124" "protein_coding" 188 FALSE
"ENSG00000007129.13" "CEACAM21" "protein_coding" 0 FALSE
"ENSG00000007168.7" "PAFAH1B1" "protein_coding" 272 FALSE
"ENSG00000007171.12" "NOS2" "protein_coding" 0 FALSE
"ENSG00000007174.12" "DNAH9" "protein_coding" 4 FALSE
"ENSG00000007202.10" "KIAA0100" "protein_coding" 186 FALSE
"ENSG00000007216.10" "SLC13A2" "protein_coding" 0 FALSE
"ENSG00000007237.13" "GAS7" "protein_coding" 30 FALSE
"ENSG00000007255.6" "TRAPPC6A" "protein_coding" 105 FALSE
"ENSG00000007264.9" "MATK" "protein_coding" 0 FALSE
"ENSG00000007306.10" "CEACAM7" "protein_coding" 0 FALSE
"ENSG00000007312.8" "CD79B" "protein_coding" 2 FALSE
"ENSG00000007314.7" "SCN4A" "protein_coding" 3 FALSE
"ENSG00000007341.14" "ST7L" "protein_coding" 171 FALSE
"ENSG00000007350.12" "TKTL1" "protein_coding" 0 FALSE
"ENSG00000007372.15" "PAX6" "protein_coding" 6 FALSE
"ENSG00000007376.3" "RPUSD1" "protein_coding" 39 FALSE
"ENSG00000007384.11" "RHBDF1" "protein_coding" 75 FALSE
"ENSG00000007392.12" "LUC7L" "protein_coding" 236 FALSE
"ENSG00000007402.7" "CACNA2D2" "protein_coding" 0 FALSE
"ENSG00000007516.9" "BAIAP3" "protein_coding" 0 FALSE
"ENSG00000007520.3" "TSR3" "protein_coding" 76 FALSE
"ENSG00000007541.10" "PIGQ" "protein_coding" 34 FALSE
"ENSG00000007545.11" "CRAMP1L" "protein_coding" 40 FALSE
"ENSG00000007866.14" "TEAD3" "protein_coding" 144 FALSE
"ENSG00000007908.10" "SELE" "protein_coding" 0 FALSE
"ENSG00000007923.11" "DNAJC11" "protein_coding" 167 FALSE
"ENSG00000007933.8" "FMO3" "protein_coding" 13 FALSE
"ENSG00000007944.10" "MYLIP" "protein_coding" 7 FALSE
"ENSG00000007952.13" "NOX1" "protein_coding" 0 FALSE
"ENSG00000007968.6" "E2F2" "protein_coding" 22 FALSE
"ENSG00000008018.8" "PSMB1" "protein_coding" 340 FALSE
"ENSG00000008056.8" "SYN1" "protein_coding" 1 FALSE
"ENSG00000008083.9" "JARID2" "protein_coding" 132 FALSE
"ENSG00000008086.6" "CDKL5" "protein_coding" 20 FALSE
"ENSG00000008118.5" "CAMK1G" "protein_coding" 0 FALSE
"ENSG00000008128.18" "CDK11A" "protein_coding" 260 FALSE
"ENSG00000008130.11" "NADK" "protein_coding" 87 FALSE
"ENSG00000008196.7" "TFAP2B" "protein_coding" 0 FALSE
"ENSG00000008197.4" "TFAP2D" "protein_coding" 0 FALSE
"ENSG00000008226.15" "DLEC1" "protein_coding" 0 FALSE
"ENSG00000008256.11" "CYTH3" "protein_coding" 125 FALSE
"ENSG00000008277.10" "ADAM22" "protein_coding" 5 FALSE
"ENSG00000008282.3" "SYPL1" "protein_coding" 299 FALSE
"ENSG00000008283.11" "CYB561" "protein_coding" 38 FALSE
"ENSG00000008294.16" "SPAG9" "protein_coding" 258 FALSE
"ENSG00000008300.10" "CELSR3" "protein_coding" 5 FALSE
"ENSG00000008311.10" "AASS" "protein_coding" 221 FALSE
"ENSG00000008323.11" "PLEKHG6" "protein_coding" 0 FALSE
"ENSG00000008324.6" "SS18L2" "protein_coding" 221 FALSE
"ENSG00000008382.11" "MPND" "protein_coding" 14 FALSE
"ENSG00000008394.7" "MGST1" "protein_coding" 230 FALSE
"ENSG00000008405.7" "CRY1" "protein_coding" 91 FALSE
"ENSG00000008438.4" "PGLYRP1" "protein_coding" 0 FALSE
"ENSG00000008441.12" "NFIX" "protein_coding" 152 FALSE
"ENSG00000008513.10" "ST3GAL1" "protein_coding" 117 FALSE
"ENSG00000008516.12" "MMP25" "protein_coding" 0 FALSE
"ENSG00000008517.12" "IL32" "protein_coding" 225 FALSE
"ENSG00000008710.13" "PKD1" "protein_coding" 167 FALSE
"ENSG00000008735.10" "MAPK8IP2" "protein_coding" 3 FALSE
"ENSG00000008838.13" "MED24" "protein_coding" 112 FALSE
"ENSG00000008853.12" "RHOBTB2" "protein_coding" 33 FALSE
"ENSG00000008869.7" "HEATR5B" "protein_coding" 131 FALSE
"ENSG00000008952.12" "SEC62" "protein_coding" 350 FALSE
"ENSG00000008988.5" "RPS20" "protein_coding" 351 FALSE
"ENSG00000009307.11" "CSDE1" "protein_coding" 360 FALSE
"ENSG00000009335.13" "UBE3C" "protein_coding" 189 FALSE
"ENSG00000009413.11" "REV3L" "protein_coding" 323 FALSE
"ENSG00000009694.9" "TENM1" "protein_coding" 0 FALSE
"ENSG00000009709.7" "PAX7" "protein_coding" 7 FALSE
"ENSG00000009724.12" "MASP2" "protein_coding" 6 FALSE
"ENSG00000009765.10" "IYD" "protein_coding" 31 FALSE
"ENSG00000009780.11" "FAM76A" "protein_coding" 255 FALSE
"ENSG00000009790.10" "TRAF3IP3" "protein_coding" 5 FALSE
"ENSG00000009830.7" "POMT2" "protein_coding" 35 FALSE
"ENSG00000009844.10" "VTA1" "protein_coding" 292 FALSE
"ENSG00000009950.11" "MLXIPL" "protein_coding" 6 FALSE
"ENSG00000009954.6" "BAZ1B" "protein_coding" 300 FALSE
"ENSG00000010017.9" "RANBP9" "protein_coding" 204 FALSE
"ENSG00000010030.9" "ETV7" "protein_coding" 3 FALSE
"ENSG00000010072.11" "SPRTN" "protein_coding" 109 FALSE
"ENSG00000010165.14" "METTL13" "protein_coding" 121 FALSE
"ENSG00000010219.8" "DYRK4" "protein_coding" 225 FALSE
"ENSG00000010244.12" "ZNF207" "protein_coding" 340 FALSE
"ENSG00000010256.6" "UQCRC1" "protein_coding" 323 FALSE
"ENSG00000010270.9" "STARD3NL" "protein_coding" 235 FALSE
"ENSG00000010278.7" "CD9" "protein_coding" 185 FALSE
"ENSG00000010282.10" "HHATL" "protein_coding" 4 FALSE
"ENSG00000010292.8" "NCAPD2" "protein_coding" 125 TRUE
"ENSG00000010295.15" "IFFO1" "protein_coding" 88 FALSE
"ENSG00000010310.4" "GIPR" "protein_coding" 3 FALSE
"ENSG00000010318.14" "PHF7" "protein_coding" 10 FALSE
"ENSG00000010319.2" "SEMA3G" "protein_coding" 7 FALSE
"ENSG00000010322.11" "NISCH" "protein_coding" 213 FALSE
"ENSG00000010327.6" "STAB1" "protein_coding" 0 FALSE
"ENSG00000010361.9" "FUZ" "protein_coding" 5 FALSE
"ENSG00000010379.11" "SLC6A13" "protein_coding" 2 FALSE
"ENSG00000010404.13" "IDS" "protein_coding" 235 FALSE
"ENSG00000010438.12" "PRSS3" "protein_coding" 78 FALSE
"ENSG00000010539.7" "ZNF200" "protein_coding" 55 FALSE
"ENSG00000010610.5" "CD4" "protein_coding" 4 FALSE
"ENSG00000010626.10" "LRRC23" "protein_coding" 51 FALSE
"ENSG00000010671.11" "BTK" "protein_coding" 0 FALSE
"ENSG00000010704.14" "HFE" "protein_coding" 30 FALSE
"ENSG00000010803.12" "SCMH1" "protein_coding" 126 FALSE
"ENSG00000010810.12" "FYN" "protein_coding" 188 FALSE
"ENSG00000010818.4" "HIVEP2" "protein_coding" 82 FALSE
"ENSG00000010932.11" "FMO1" "protein_coding" 2 FALSE
"ENSG00000011007.7" "TCEB3" "protein_coding" 277 FALSE
"ENSG00000011009.6" "LYPLA2" "protein_coding" 164 FALSE
"ENSG00000011021.17" "CLCN6" "protein_coding" 87 FALSE
"ENSG00000011028.9" "MRC2" "protein_coding" 246 FALSE
"ENSG00000011052.16" "NME1-NME2,NME2" "protein_coding" 344 FALSE
"ENSG00000011083.4" "SLC6A7" "protein_coding" 0 FALSE
"ENSG00000011105.7" "TSPAN9" "protein_coding" 67 FALSE
"ENSG00000011114.10" "BTBD7" "protein_coding" 216 FALSE
"ENSG00000011132.7" "APBA3" "protein_coding" 16 FALSE
"ENSG00000011143.12" "MKS1" "protein_coding" 99 FALSE
"ENSG00000011198.3" "ABHD5" "protein_coding" 142 FALSE
"ENSG00000011201.6" "KAL1" "protein_coding" 0 FALSE
"ENSG00000011243.12" "AKAP8L" "protein_coding" 86 FALSE
"ENSG00000011258.11" "MBTD1" "protein_coding" 39 FALSE
"ENSG00000011260.9" "UTP18" "protein_coding" 120 FALSE
"ENSG00000011275.14" "RNF216" "protein_coding" 260 FALSE
"ENSG00000011295.10" "TTC19" "protein_coding" 227 FALSE
"ENSG00000011304.11" "PTBP1" "protein_coding" 193 FALSE
"ENSG00000011332.15" "DPF1" "protein_coding" 12 FALSE
"ENSG00000011347.5" "SYT7" "protein_coding" 10 FALSE
"ENSG00000011376.5" "LARS2" "protein_coding" 63 FALSE
"ENSG00000011405.9" "PIK3C2A" "protein_coding" 181 FALSE
"ENSG00000011422.7" "PLAUR" "protein_coding" 199 FALSE
"ENSG00000011426.6" "ANLN" "protein_coding" 114 TRUE
"ENSG00000011451.11" "WIZ" "protein_coding" 39 FALSE
"ENSG00000011454.12" "RABGAP1" "protein_coding" 251 FALSE
"ENSG00000011465.12" "DCN" "protein_coding" 232 FALSE
"ENSG00000011478.7" "QPCTL" "protein_coding" 42 FALSE
"ENSG00000011485.10" "PPP5C" "protein_coding" 123 FALSE
"ENSG00000011523.9" "CEP68" "protein_coding" 149 FALSE
"ENSG00000011566.9" "MAP4K3" "protein_coding" 153 FALSE
"ENSG00000011590.9" "ZBTB32" "protein_coding" 0 FALSE
"ENSG00000011600.6" "TYROBP" "protein_coding" 0 FALSE
"ENSG00000011638.6" "TMEM159" "protein_coding" 179 FALSE
"ENSG00000011677.7" "GABRA3" "protein_coding" 0 FALSE
"ENSG00000012048.14" "BRCA1" "protein_coding" 79 TRUE
"ENSG00000012061.11" "ERCC1" "protein_coding" 315 FALSE
"ENSG00000012124.10" "CD22" "protein_coding" 32 FALSE
"ENSG00000012171.13" "SEMA3B" "processed_transcript" 17 FALSE
"ENSG00000012174.7" "MBTPS2" "protein_coding" 105 FALSE
"ENSG00000012211.8" "PRICKLE3" "protein_coding" 269 FALSE
"ENSG00000012223.8" "LTF" "protein_coding" 0 FALSE
"ENSG00000012232.4" "EXTL3" "protein_coding" 61 FALSE
"ENSG00000012504.9" "NR1H4" "protein_coding" 0 FALSE
"ENSG00000012660.9" "ELOVL5" "protein_coding" 280 FALSE
"ENSG00000012779.6" "ALOX5" "protein_coding" 0 FALSE
"ENSG00000012817.11" "KDM5D" "protein_coding" 0 FALSE
"ENSG00000012822.11" "CALCOCO1" "protein_coding" 172 FALSE
"ENSG00000012963.9" "UBR7" "protein_coding" 116 FALSE
"ENSG00000012983.7" "MAP4K5" "protein_coding" 220 FALSE
"ENSG00000013016.10" "EHD3" "protein_coding" 57 FALSE
"ENSG00000013275.3" "PSMC4" "protein_coding" 370 FALSE
"ENSG00000013288.4" "MAN2B2" "protein_coding" 63 FALSE
"ENSG00000013293.4" "SLC7A14" "protein_coding" 0 FALSE
"ENSG00000013297.5" "CLDN11" "protein_coding" 43 FALSE
"ENSG00000013306.11" "SLC25A39" "protein_coding" 205 FALSE
"ENSG00000013364.14" "MVP" "protein_coding" 211 FALSE
"ENSG00000013374.11" "NUB1" "protein_coding" 231 FALSE
"ENSG00000013375.10" "PGM3" "protein_coding" 291 FALSE
"ENSG00000013392.5" "RWDD2A" "protein_coding" 85 FALSE
"ENSG00000013441.11" "CLK1" "protein_coding" 296 FALSE
"ENSG00000013503.5" "POLR3B" "protein_coding" 73 FALSE
"ENSG00000013523.5" "ANGEL1" "protein_coding" 22 FALSE
"ENSG00000013561.13" "RNF14" "protein_coding" 203 FALSE
"ENSG00000013563.8" "DNASE1L1" "protein_coding" 78 FALSE
"ENSG00000013573.12" "DDX11" "protein_coding" 45 FALSE
"ENSG00000013583.4" "HEBP1" "protein_coding" 162 FALSE
"ENSG00000013588.5" "GPRC5A" "protein_coding" 170 FALSE
"ENSG00000013619.9" "MAMLD1" "protein_coding" 74 FALSE
"ENSG00000013725.10" "CD6" "protein_coding" 0 FALSE
"ENSG00000013810.14" "TACC3" "protein_coding" 51 TRUE
"ENSG00000014123.9" "UFL1" "protein_coding" 276 FALSE
"ENSG00000014138.4" "POLA2" "protein_coding" 75 FALSE
"ENSG00000014164.6" "ZC3H3" "protein_coding" 13 FALSE
"ENSG00000014216.11" "CAPN1" "protein_coding" 129 FALSE
"ENSG00000014257.11" "ACPP" "protein_coding" 0 FALSE
"ENSG00000014641.13" "MDH1" "protein_coding" 335 FALSE
"ENSG00000014824.8" "SLC30A9" "protein_coding" 270 FALSE
"ENSG00000014914.15" "MTMR11" "protein_coding" 59 FALSE
"ENSG00000014919.8" "COX15" "protein_coding" 219 FALSE
"ENSG00000015133.14" "CCDC88C" "protein_coding" 100 FALSE
"ENSG00000015153.10" "YAF2" "protein_coding" 174 FALSE
"ENSG00000015171.14" "ZMYND11" "protein_coding" 227 FALSE
"ENSG00000015285.6" "WAS" "protein_coding" 0 FALSE
"ENSG00000015413.5" "DPEP1" "protein_coding" 0 FALSE
"ENSG00000015475.14" "BID" "protein_coding" 182 FALSE
"ENSG00000015479.13" "MATR3" "protein_coding" 348 FALSE
"ENSG00000015520.10" "NPC1L1" "protein_coding" 0 FALSE
"ENSG00000015532.5" "XYLT2" "protein_coding" 255 FALSE
"ENSG00000015568.8" "RGPD5" "protein_coding" 302 FALSE
"ENSG00000015592.12" "STMN4" "protein_coding" 0 FALSE
"ENSG00000015676.12" "NUDCD3" "protein_coding" 229 FALSE
"ENSG00000016082.10" "ISL1" "protein_coding" 0 FALSE
"ENSG00000016391.5" "CHDH" "protein_coding" 2 FALSE
"ENSG00000016402.8" "IL20RA" "protein_coding" 18 FALSE
"ENSG00000016490.11" "CLCA1" "protein_coding" 0 FALSE
"ENSG00000016602.8" "CLCA4" "protein_coding" 0 FALSE
"ENSG00000016864.12" "GLT8D1" "protein_coding" 198 FALSE
"ENSG00000017260.14" "ATP2C1" "protein_coding" 144 FALSE
"ENSG00000017373.11" "SRCIN1" "protein_coding" 1 FALSE
"ENSG00000017427.11" "IGF1" "protein_coding" 18 FALSE
"ENSG00000017483.10" "SLC38A5" "protein_coding" 9 FALSE
"ENSG00000017621.11" "MAGIX" "protein_coding" 7 FALSE
"ENSG00000017797.7" "RALBP1" "protein_coding" 255 FALSE
"ENSG00000018189.7" "RUFY3" "protein_coding" 210 FALSE
"ENSG00000018236.10" "CNTN1" "protein_coding" 0 FALSE
"ENSG00000018280.12" "SLC11A1" "protein_coding" 4 FALSE
"ENSG00000018408.10" "WWTR1" "protein_coding" 337 TRUE
"ENSG00000018510.8" "AGPS" "protein_coding" 261 FALSE
"ENSG00000018607.5" "ZNF806" "pseudogene" 0 FALSE
"ENSG00000018610.8" "CXorf56" "protein_coding" 134 FALSE
"ENSG00000018625.10" "ATP1A2" "protein_coding" 83 FALSE
"ENSG00000018699.7" "TTC27" "protein_coding" 129 FALSE
"ENSG00000018869.12" "ZNF582" "protein_coding" 10 FALSE
"ENSG00000019102.7" "VSIG2" "protein_coding" 1 FALSE
"ENSG00000019144.12" "PHLDB1" "protein_coding" 203 FALSE
"ENSG00000019169.9" "MARCO" "protein_coding" 3 FALSE
"ENSG00000019186.5" "CYP24A1" "protein_coding" 0 FALSE
"ENSG00000019485.8" "PRDM11" "protein_coding" 7 FALSE
"ENSG00000019505.3" "SYT13" "protein_coding" 0 FALSE
"ENSG00000019549.4" "SNAI2" "protein_coding" 189 FALSE
"ENSG00000019582.10" "CD74" "protein_coding" 1 FALSE
"ENSG00000019991.11" "HGF" "protein_coding" 23 FALSE
"ENSG00000019995.6" "ZRANB1" "protein_coding" 142 FALSE
"ENSG00000020129.11" "NCDN" "protein_coding" 114 FALSE
"ENSG00000020181.13" "GPR124" "protein_coding" 17 FALSE
"ENSG00000020219.8" "CCT8L1P" "pseudogene" 0 FALSE
"ENSG00000020256.15" "ZFP64" "protein_coding" 100 FALSE
"ENSG00000020426.6" "MNAT1" "protein_coding" 301 FALSE
"ENSG00000020577.9" "SAMD4A" "protein_coding" 160 FALSE
"ENSG00000020633.14" "RUNX3" "protein_coding" 0 FALSE
"ENSG00000020922.7" "MRE11A" "protein_coding" 149 TRUE
"ENSG00000021300.9" "PLEKHB1" "protein_coding" 4 FALSE
